Date,Price,Open,High,Low,Volume,Chg%,USD,GBP,EURO,Date,Price_Nifty,Open_Nifty,High_Nifty,Low_Nifty,Vol._Nifty,Change %_Nifty,Price_Sensex,Open_Sensex,High_Sensex,Low_Sensex,Vol._Sensex,Change %_Sensex
2019-12-02,37915,38240,38240,37715,890,-0.12,16.875,13.07,15.33,2019-12-05,"12,018.40","12,071.25","12,081.20","11,998.75",562.23M,-0.21%,"40,779.59","40,988.14","41,002.41","40,720.17",33.05M,-0.17%
2019-11-29,37961,37770,38070,37711,4270,0.48,16.965,13.15,15.43,2019-12-04,"12,043.20","11,969.95","12,054.70","11,935.30",747.19M,0.41%,"40,850.29","40,606.01","40,886.87","40,475.83",44.45M,0.43%
2019-11-28,37780,37511,37837,37511,9500,0.54,16.945,13.12,15.4,2019-12-03,"11,994.20","12,067.65","12,068.60","11,956.40",605.79M,-0.45%,"40,675.45","40,852.61","40,885.03","40,554.04",33.70M,-0.31%
2019-11-27,37578,37753,37753,37530,11790,-0.52,17.055,13.23,15.49,2019-12-02,"12,048.20","12,137.05","12,137.15","12,023.70",720.95M,-0.07%,"40,802.17","41,072.94","41,093.99","40,707.63",39.79M,0.02%
2019-11-26,37775,37747,37830,37615,15750,-0.02,16.935,13.15,15.37,2019-11-29,"12,056.05","12,146.20","12,147.40","12,017.40",804.43M,-0.78%,"40,793.81","41,138.26","41,143.22","40,664.18",46.68M,-0.82%
2019-11-25,37782,37891,37905,37736,14900,-0.38,16.87,13.11,15.31,2019-11-28,"12,151.15","12,132.10","12,158.80","12,099.95",620.48M,0.42%,"41,130.17","41,161.54","41,163.79","40,996.08",30.88M,0.27%
2019-11-22,37927,37975,38150,37905,20370,-0.12,17.175,13.34,15.52,2019-11-27,"12,100.70","12,068.50","12,114.90","12,055.15",584.23M,0.52%,"41,020.61","40,979.39","41,075.76","40,848.70",32.43M,0.49%
2019-11-21,37971,38156,38200,37945,20030,-0.48,17.09,13.19,15.42,2019-11-26,"12,037.70","12,110.20","12,132.45","12,006.35",1.20B,-0.30%,"40,821.30","41,022.85","41,120.28","40,710.20",32.81M,-0.17%
2019-11-20,38155,38218,38325,38020,23560,-0.13,17.115,13.27,15.48,2019-11-25,"12,073.75","11,922.45","12,084.50","11,919.75",534.29M,1.34%,"40,889.23","40,439.66","40,931.71","40,393.90",28.56M,1.31%
2019-11-19,38206,38223,38230,37920,24870,-0.06,17.125,13.24,15.46,2019-11-22,"11,914.40","11,967.30","11,968.10","11,883.50",486.82M,-0.45%,"40,359.41","40,653.17","40,653.17","40,276.83",21.70M,-0.53%
